A,B,n_AB,P(B|A),P(B),lift,odds_ratio,p_value,q_value_BH,significatiu_FDR
g,3,6,0.005556,0.002926,1.8988,1.9469,0.09808891,0.15422784,False
g,<glla>,6,0.005556,0.003857,1.4405,1.4588,0.23927254,0.35819242,False
<glla>,p,14,0.084337,0.063991,1.318,1.3489,0.17777807,0.27100315,False
l,<(3)lxl>,12,0.000326,0.000266,1.2274,,0.08547268,0.13524158,False
l,<agll>,10,0.000272,0.000222,1.2274,,0.12878877,0.19752879,False
l,(12),8,0.000218,0.000177,1.2274,,0.19405281,0.2940194,False
l,(16),5,0.000136,0.000111,1.2274,,0.35889415,0.52599172,False
l,<(3)l3l>,5,0.000136,0.000111,1.2274,,0.35889415,0.52599172,False
l,(23),4,0.000109,8.9e-05,1.2274,,0.44053202,0.61287338,False
l,(18),4,0.000109,8.9e-05,1.2274,,0.44053202,0.61287338,False
l,<3l>,4,0.000109,8.9e-05,1.2274,,0.44053202,0.61287338,False
l,(25),3,8.2e-05,6.6e-05,1.2274,,0.54073738,0.71882823,False
l,(27),3,8.2e-05,6.6e-05,1.2274,,0.54073738,0.71882823,False
l,(29),3,8.2e-05,6.6e-05,1.2274,,0.54073738,0.71882823,False
l,<apglpl>,3,8.2e-05,6.6e-05,1.2274,,0.54073738,0.71882823,False
<lg(2r)>,l,11,1.0,0.816052,1.2254,,0.1068505,0.16591692,False
(12),l,8,1.0,0.816052,1.2254,,0.19664446,0.29615129,False
(21),l,5,1.0,0.816052,1.2254,,0.3618823,0.52599172,False
(16),l,5,1.0,0.816052,1.2254,,0.3618823,0.52599172,False
<lxl(3)>,l,4,1.0,0.816052,1.2254,,0.44346385,0.61287338,False
(23),l,4,1.0,0.816052,1.2254,,0.44346385,0.61287338,False
<l3l(3)>,l,4,1.0,0.816052,1.2254,,0.44346385,0.61287338,False
(25),l,3,1.0,0.816052,1.2254,,0.54343414,0.71882823,False
(27),l,3,1.0,0.816052,1.2254,,0.54343414,0.71882823,False
g,(5),10,0.009259,0.007625,1.2144,1.2228,0.31131597,0.46326782,False
a,x,4,0.00349,0.00297,1.1752,1.1812,0.44372033,0.61287338,False
(5),a,9,0.026163,0.023517,1.1125,1.1165,0.42017852,0.60370478,False
(3),a,13,0.026,0.023517,1.1056,1.1097,0.39593915,0.5721664,False
<lg>,l,43,0.895833,0.816052,1.0978,1.9396,0.10207945,0.15949914,False
l,(17),8,0.000218,0.000199,1.0911,1.8197,0.48176788,0.66176907,False
g,(3),12,0.011111,0.011083,1.0026,1.0027,0.53682959,0.71882823,False
l,(21),4,0.000109,0.000111,0.982,0.9098,0.76708351,0.9834404,False
(2),(2),4,0.009174,0.009575,0.9581,0.9573,0.60203571,0.79215225,False
(17),l,7,0.777778,0.816052,0.9531,0.7889,0.77968008,0.99448989,False
l,(19),6,0.000163,0.000177,0.9206,0.6823,0.82836057,1.0,False
l,(15),6,0.000163,0.000177,0.9206,0.6823,0.82836057,1.0,False
l,(13),3,8.2e-05,8.9e-05,0.9206,0.6823,0.84135347,1.0,False
(19),l,6,0.75,0.816052,0.9191,0.6762,0.83115113,1.0,False
(10),l,20,0.740741,0.816052,0.9077,0.6438,0.89220639,1.0,False
a,r,8,0.006981,0.007979,0.8748,0.8711,0.69684532,0.91210121,False
x,l,125,0.694444,0.816052,0.851,0.5106,0.99997394,1.0,False
p,>,4,0.001387,0.001662,0.8343,0.8247,0.71413343,0.92986123,False
>,p,4,0.052632,0.063991,0.8225,0.8124,0.72459912,0.93494763,False
(15),l,6,0.666667,0.816052,0.8169,0.4507,0.93409323,1.0,False
p,<lp>,3,0.00104,0.001286,0.8091,0.7985,0.72551936,0.93494763,False
l,(8),15,0.000408,0.00051,0.8005,0.4262,0.98296914,1.0,False
(3),l,325,0.65,0.816052,0.7965,0.4134,1.0,1.0,False
l,(3),321,0.008733,0.011083,0.788,0.4027,1.0,1.0,False
l,a,657,0.017875,0.023517,0.7601,0.3584,1.0,1.0,False
(6),l,53,0.609195,0.816052,0.7465,0.3504,0.99999829,1.0,False
l,(10),17,0.000463,0.000621,0.7452,0.3512,0.99744333,1.0,False
g,l,651,0.602778,0.816052,0.7387,0.3302,1.0,1.0,False
(14),l,9,0.6,0.816052,0.7352,0.338,0.9885511,1.0,False
l,(6),53,0.001442,0.001995,0.7228,0.3248,0.99999983,1.0,False
l,(14),8,0.000218,0.000332,0.6546,0.2598,0.99743959,1.0,False
l,(5),181,0.004924,0.007625,0.6458,0.2489,1.0,1.0,False
(5),l,181,0.526163,0.816052,0.6448,0.2466,1.0,1.0,False
