A,B,n_AB,P(B|A),P(B),lift,odds_ratio,p_value,q_value_BH,significatiu_FDR
#,g,5,0.263158,0.05452,4.8268,6.1995,0.00293473,0.00590645,True
(2),a,102,0.104082,0.022142,4.7007,5.384,0.0,0.0,True
a,(15),3,0.001473,0.000314,4.6983,5.2088,0.02517082,0.04352644,True
L,(3),49,0.06422,0.014163,4.5343,4.9482,0.0,0.0,True
a,(10),3,0.001473,0.000326,4.5176,4.9822,0.02792585,0.04811684,True
(3),L,48,0.042781,0.009471,4.5169,4.9235,0.0,0.0,True
(8),g,10,0.243902,0.05452,4.4736,5.6048,5.406e-05,0.00013347,True
(2),G,19,0.019388,0.004353,4.4538,4.7261,9e-08,3e-07,True
(4),<la>,5,0.015291,0.003462,4.4162,4.5332,0.00588032,0.01108927,True
(3),<lg>,10,0.008913,0.00202,4.4128,4.6716,0.00010511,0.00025428,True
a,-,17,0.00835,0.001944,4.2941,4.7311,5.5e-07,1.67e-06,True
L,(2),38,0.049803,0.011729,4.246,4.5609,0.0,0.0,True
<GLLA>,g,18,0.230769,0.05452,4.2328,5.2201,1.6e-07,5.1e-07,True
(7),g,49,0.228972,0.05452,4.1998,5.1973,0.0,0.0,True
<la>,(2),13,0.048689,0.011729,4.151,4.359,2.006e-05,5.167e-05,True
(11),g,16,0.219178,0.05452,4.0201,4.8822,1.6e-06,4.61e-06,True
a,<2>,4,0.001965,0.000489,4.0156,4.3669,0.01715977,0.03033036,True
g,<lg>,33,0.008061,0.00202,3.9909,4.7926,0.0,0.0,True
<la>,(3),15,0.05618,0.014163,3.9666,4.1855,7.94e-06,2.148e-05,True
<al>,(2),4,0.046512,0.011729,3.9654,4.1234,0.01873267,0.03298878,True
(2),L,36,0.036735,0.009471,3.8785,4.1379,0.0,0.0,True
(2),<la>,12,0.012245,0.003462,3.5366,3.6847,0.00018668,0.00044266,True
a,v,54,0.026523,0.007527,3.5237,3.8489,0.0,0.0,True
<glla>,g,52,0.191176,0.05452,3.5065,4.1365,0.0,0.0,True
r,(2),11,0.04059,0.011729,3.4606,3.5952,0.00041131,0.00092531,True
r,3,5,0.01845,0.005332,3.4606,3.5367,0.01562308,0.02771649,True
a,<la>,23,0.011297,0.003462,3.2627,3.4966,9e-07,2.63e-06,True
A,(2),11,0.038062,0.011729,3.245,3.3616,0.00070035,0.00153883,True
(3),g,197,0.175579,0.05452,3.2205,3.8212,0.0,0.0,True
a,a,140,0.068762,0.022142,3.1056,3.4558,0.0,0.0,True
(2),g,154,0.157143,0.05452,2.8823,3.3153,0.0,0.0,True
<glla>,(3),11,0.040441,0.014163,2.8554,2.9526,0.00192016,0.00394745,True
),g,7,0.145833,0.05452,2.6749,2.964,0.01470906,0.0262897,True
(6),g,14,0.14433,0.05452,2.6473,2.9314,0.00078442,0.00170789,True
(3),<glla>,10,0.008913,0.003462,2.5741,2.648,0.00621174,0.01157752,True
p,<lxlp>,5,0.000161,6.3e-05,2.5608,,0.00907816,0.0165971,True
p,<(2r)p>,4,0.000129,5e-05,2.5608,,0.0232496,0.04049657,True
<plxl>,p,10,1.0,0.390596,2.5602,,8.258e-05,0.0002008,True
p,p,29619,0.951523,0.390596,2.4361,609.0186,0.0,0.0,True
l,<3lpl>,4,0.000122,5e-05,2.4298,,0.02868672,0.04890014,True
l,4>,4,0.000122,5e-05,2.4298,,0.02868672,0.04890014,True
l,[,4,0.000122,5e-05,2.4298,,0.02868672,0.04890014,True
<lx>,l,13,1.0,0.414344,2.4135,,1.059e-05,2.819e-05,True
(27),l,5,1.0,0.414344,2.4135,,0.01221032,0.02207073,True
],l,4,1.0,0.414344,2.4135,,0.02947115,0.04953221,True
<lpl3>,l,4,1.0,0.414344,2.4135,,0.02947115,0.04953221,True
<ll(3)ga(3)>,l,4,1.0,0.414344,2.4135,,0.02947115,0.04953221,True
4>,l,4,1.0,0.414344,2.4135,,0.02947115,0.04953221,True
g,/,13,0.003175,0.001392,2.2804,2.4548,0.00462853,0.00901246,True
<ln>,l,10,0.909091,0.414344,2.194,14.1385,0.00102191,0.00216592,True
(1),l,10,0.909091,0.414344,2.194,14.1385,0.00102191,0.00216592,True
r,a,13,0.04797,0.022142,2.1665,2.2344,0.00798634,0.01482734,True
<glla>,a,13,0.047794,0.022142,2.1586,2.2257,0.00822218,0.01508975,True
l,<a(3)l>,7,0.000213,0.0001,2.1261,10.0104,0.01023489,0.01864073,True
l,l,27663,0.843204,0.414344,2.035,41.6317,0.0,0.0,True
<lp>,l,91,0.834862,0.414344,2.0149,7.1628,0.0,0.0,True
<lg>,l,133,0.810976,0.414344,1.9573,6.0847,0.0,0.0,True
l,(16),7,0.000213,0.000113,1.8898,5.0051,0.02962126,0.04961042,True
(17),l,17,0.772727,0.414344,1.8649,4.8077,0.0006963,0.00153699,True
<gl>,g,16,0.1,0.05452,1.8342,1.9303,0.01434684,0.0258351,True
v,a,23,0.038591,0.022142,1.7429,1.7829,0.00804372,0.01483967,True
l,(17),15,0.000457,0.000263,1.7356,3.5756,0.00491125,0.00937246,True
l,n,15,0.000457,0.000263,1.7356,3.5756,0.00491125,0.00937246,True
n,l,15,0.714286,0.414344,1.7239,3.5348,0.00530011,0.01007442,True
x,l,510,0.702479,0.414344,1.6954,3.374,0.0,0.0,True
l,a,1225,0.03734,0.022142,1.6864,3.3305,0.0,0.0,True
