teixit,forma,#,(,),-,.,/,0,1,2,3,4,5,6,7,8,9,<,>,A,C,G,I,L,M,P,R,S,T,V,X,Z,[,],a,b,c,d,e,f,g,i,l,n,o,p,q,r,s,t,u,v,x,z
MS_Antoña o Canijo,,0,32,32,12,0,1,0,0,6,18,6,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,16,0,49,0,0,6,0,0,0,0,0,12,5,0
MS_Ovalo2,Ovalado,0,90,89,51,0,0,2,0,19,61,23,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,62,0,106,0,0,22,0,1,0,0,0,50,4,0
MS_Vueltas del reves,,0,70,69,29,0,0,0,0,6,49,8,11,2,4,3,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,24,0,73,0,0,7,0,0,0,0,0,29,6,0
MS_Hijo,Ovalado,0,206,206,123,0,0,2,10,23,155,22,29,18,25,16,12,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,127,0,366,0,0,68,0,0,0,0,0,124,14,0
MS_Puntilla,,0,83,83,34,0,0,0,6,19,32,10,9,7,17,6,3,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,47,0,130,0,0,30,0,0,0,0,0,34,15,0
MS_Estrellita,Redondo,0,19,19,8,0,1,1,4,7,4,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,8,0,36,0,0,4,0,0,0,0,0,8,22,0
MS_Jazmín,Redondo,0,17,17,8,0,0,0,0,13,11,4,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,7,0,36,0,0,10,0,0,0,0,0,8,8,0
MS_Susana,Redondo,0,82,82,37,0,0,3,8,48,47,10,12,6,0,6,0,9,10,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,57,0,0,0,0,1,51,0,194,0,0,37,0,0,0,0,0,36,28,0
MS_Hojas,,0,54,53,7,0,0,0,4,14,31,2,8,0,5,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,23,0,111,0,0,21,0,0,0,0,0,6,30,0
MS_Julito,Redondo,0,92,96,20,0,0,1,4,8,91,8,4,2,3,4,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,26,0,0,0,0,0,27,0,148,0,0,52,0,0,0,0,0,19,10,0
MS_Pensamiento,Hexagonal,0,42,47,18,0,0,2,10,25,15,4,3,5,2,3,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,31,0,111,0,0,15,0,0,0,0,0,20,15,0
MS_Penas,Redondo,0,66,67,27,0,0,0,4,18,56,2,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,14,0,104,0,0,20,0,0,1,0,0,28,12,0
MS_Pelargonia,Redondo,0,101,101,17,0,0,1,5,36,59,2,6,7,12,1,8,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,45,1,1,0,6,0,42,0,171,1,2,19,0,2,4,1,1,16,20,0
MS_Dalia,Redondo,0,42,42,16,0,0,0,4,2,17,8,14,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,12,0,59,0,0,7,0,0,0,0,0,16,10,0
MS_Rita,Redondo,0,301,309,91,0,0,0,35,115,167,38,17,6,14,5,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,110,0,409,0,0,58,0,0,0,0,0,88,22,0
MS_Salvador,Redondo,0,417,417,174,0,1,15,51,140,183,35,35,17,34,15,18,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,0,0,0,10,0,275,1,680,0,0,164,1,0,1,0,0,178,4,2
MS_Mariposa,Redondo,0,27,27,19,0,0,0,0,15,21,4,4,0,1,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,17,0,71,0,0,21,0,0,0,0,0,19,7,0
MS_Punto Montaña,,0,13,13,0,0,0,0,0,4,18,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,24,0,0,6,0,0,0,0,0,0,0,0
MS_Marianin o Katiuska,Cuadrado/Redondo,0,127,127,27,0,0,3,5,101,19,10,9,3,9,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,34,0,135,0,0,29,0,0,0,0,0,27,0,0
MS_Puntilla pequeña Salvador,,0,7,7,4,0,0,0,4,3,7,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,7,0,23,0,0,3,0,0,0,0,0,3,0,0
MS_Araceli,Redondo,0,231,241,107,0,1,0,36,49,125,24,15,12,17,2,9,0,0,0,0,0,7,0,7,0,0,0,0,0,0,7,0,0,80,0,0,0,0,0,66,0,245,0,0,48,1,0,0,0,0,101,12,0
MS_Puntilla1,,0,5,5,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,7,0,19,0,0,4,0,0,0,0,0,0,0,0
MS_Vaño Mimosa,Redondo,0,236,236,14,0,0,0,13,106,114,28,31,0,10,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,173,0,472,0,0,120,0,0,0,0,0,88,8,0
MS_Leonor,Redondo,0,320,323,107,0,10,3,20,137,268,15,27,4,5,5,7,0,3,271,1,264,0,724,0,127,0,0,1,0,73,2,0,0,35,0,0,0,0,0,33,0,105,0,0,30,0,0,0,0,0,109,5,0
MS_Puntilla2,,0,112,115,69,0,6,3,25,34,75,7,9,4,5,3,3,0,0,32,0,26,1,71,1,12,0,0,0,0,0,1,0,0,36,0,0,0,0,0,36,0,74,0,0,22,0,0,0,0,0,70,5,0
MS_Gafitas1,,0,6,6,6,0,0,0,0,2,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,8,0,0,1,0,0,0,0,0,6,0,0
MS_Puntilla nueva,,0,68,69,24,0,0,0,0,35,35,2,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,14,0,79,0,0,26,0,0,0,0,0,25,10,0
MS_Blumen Flor,Ovalado,0,59,59,13,0,1,0,0,27,36,4,4,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,24,0,73,0,0,14,0,0,0,0,0,14,24,0
MS_Grafico B - Puntilla,,0,141,141,19,0,1,0,8,45,108,6,15,4,9,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,52,0,275,0,0,47,0,0,0,0,0,20,14,0
MS_Adolbert,Cuadrado,0,65,65,28,1,5,0,2,17,47,12,5,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,1,1,1,0,17,0,134,15,0,30,0,1,2,0,0,29,20,0
MS_Margarita,,0,214,213,66,0,28,4,20,99,94,30,17,11,13,6,4,0,1,16,0,16,0,32,0,0,0,0,0,0,0,0,0,0,123,0,0,0,6,0,107,0,380,0,0,73,0,0,0,0,0,75,56,0
MS_Plumitas,Cuadrado,0,111,112,41,0,6,0,12,58,60,2,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,1,35,0,147,0,0,36,0,0,0,0,0,41,18,0
MS_Puntilla3,,0,50,51,17,0,19,0,4,21,21,3,12,0,1,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,10,0,1,0,2,0,5,0,54,0,0,13,0,0,1,0,0,21,0,0
MS_Mary-Luz,Cuadrado,0,27,27,2,0,0,0,3,4,18,0,9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,0,6,0,43,0,0,23,0,0,0,0,0,2,0,0
MS_Gafitas2,Cuadrado,0,69,68,24,0,13,0,0,38,30,2,5,0,1,0,1,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,28,0,87,0,0,18,0,0,0,0,0,24,10,0
MS_Madreselva,Ovalado,0,58,58,13,0,0,0,0,7,38,17,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,27,0,82,0,0,14,0,0,0,0,0,13,32,0
MS_Grafico 2,,0,179,179,59,0,0,0,8,22,94,42,33,8,15,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,78,0,256,0,0,48,0,1,0,0,0,59,30,0
MS_Luis,Redondo,0,279,279,111,0,0,0,8,127,171,22,36,2,17,0,12,0,1,24,0,24,0,48,0,0,0,0,0,0,0,0,0,0,112,0,0,0,1,0,118,0,440,0,0,102,0,0,0,0,0,111,27,0
MS_La Puntilla,,0,135,136,57,0,0,5,25,46,42,19,11,7,9,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,1,0,38,0,122,0,0,13,0,0,0,0,0,57,1,0
MS_Morin,Cuadrado,0,161,162,49,0,2,3,19,48,69,44,13,5,9,4,1,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,68,0,0,0,0,0,63,0,214,0,0,41,0,0,0,0,0,50,8,0
MS_Celia 1,Redondo,0,173,173,77,0,0,0,7,53,88,28,27,9,26,5,5,0,0,0,0,0,7,0,7,0,0,0,0,7,0,0,0,0,70,0,0,0,0,0,56,0,208,0,0,46,0,0,0,0,0,76,46,0
MS_Celia 2,Redondo,0,77,77,28,0,0,0,8,39,52,5,8,0,4,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,30,0,0,0,0,0,23,0,99,0,0,32,0,0,0,0,0,26,24,0
MS_Cacus,Cuadrado,0,60,61,6,0,10,0,1,9,44,13,19,0,0,0,0,0,2,4,0,4,0,8,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,19,0,145,0,0,31,0,0,0,0,0,6,41,0
MS_Pino,Redondo,0,240,245,89,0,4,5,10,62,122,40,23,15,10,5,9,0,1,23,0,23,0,47,2,0,0,0,0,2,0,0,0,0,109,0,0,0,0,0,92,0,328,0,0,68,0,0,0,0,0,90,49,0
MS_Fajas,Redondo,0,55,55,16,0,0,1,1,33,31,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24,0,0,0,0,1,17,0,80,0,0,25,0,0,0,0,0,16,12,0
